codice_sta,denominazi,tipo_staz,sigla_pro,provincia,quota,data_inizi,data_fine,codice_ist,utm_x,utm_y
S3222,SANTINO SAN BERNARDINO,IJ,VB,Verbano-Cusio-Ossola,250,"2003","2016","3132900","463305","5089535"
"423",SERRAVALLE SCRIVIA,IJ,AL,Alessandria,220,"2009","2016","6160900","489070","4952616"
"224",SERRAVALLE SCRIVIA Q:A:,IQJ,AL,Alessandria,220,"2001","2007","6160700","489069","4952615"
S4336,SOUCHERES BASSES CHISONE,IJ,TO,Torino,1471,"2007","2016","1201907","339301","4988338"
S5616,SPINETO ORCO,IJ,TO,Torino,362,"2010","2016","1066900","396288","5026973"
S3924,STAFFARDA GHIANDONE,IJ,CN,Cuneo,267,"2008","2013","4180900","375850","4954068"
"403",SUSA CENISCHIA,IJ,TO,Torino,500,"2001","2016","1270903","347243","5000742"
"416",SUSA DORA RIPARIA,IJ,TO,Torino,503,"2003","2004","1270902","347560","5000002"
S3952,SUSA DORA RIPARIA VIA MAZZINI,IJ,TO,Torino,500,"2006","2016","1270904","346587","5000202"
"414",TAVAGNASCO DORA BALTEA,IJ,TO,Torino,270,"2002","2016","1271900","408502","5044703"
S2592,TIGLIETO ORBA,IJ,GE,Genova,500,"2003","2016","10061900","469736","4930378"
"371",TORINO DORA RIPARIA,IJ,TO,Torino,219,"2002","2016","1272701","399175","4992374"
S4816,TORINO MURAZZI PO,IJ,TO,Torino,223,"2007","2016","1272703","398412","4991541"
"155",TORINO MURAZZI PO Q:A:,IQJ,TO,Torino,239,"1995","2007","1272700","397580","4991160"
S7421,TORINO SANGONE,IJ,TO,Torino,240,"2016","2016","1272909","391358","4985092"
"372",TORINO STURA DI LANZO,IJ,TO,Torino,221,"2002","2016","1272702","398334","4996316"
S3951,TORRE MONDOVI  CORSAGLIA,IJ,CN,Cuneo,454,"2008","2016","4210900","412625","4912493"
S3927,TORRETTE VARAITA,IJ,CN,Cuneo,1153,"2008","2016","4047900","349737","4938638"
"278",TRANA SANGONE,IPTJ,TO,Torino,371,"2002","2016","1276900","375630","4988307"
S2115,VALENZA PO,IJ,AL,Alessandria,90,"2004","2016","6177900","471070","4988876"
"376",VARALLO MASTALLONE,IJ,VC,Vercelli,485,"2002","2016","2156700","442271","5075681"
S4060,VERBANIA SAN GIOVANNI,IJ,VB,Verbano-Cusio-Ossola,215,"2007","2012","3156901","467353","5087615"
"375",VEROLENGO DORA BALTEA,IJ,TO,Torino,167,"2002","2016","1293700","424770","5004925"
S3223,VIGLIANO CERVO,IJ,BI,Biella,327,"2003","2016","2160900","430702","5045109"
"410",VILLADOSSOLA OVESCA,IJ,VB,Verbano-Cusio-Ossola,259,"2013","2016","3162900","442653","5102039"
"370",VILLAFRANCA PELLICE,IPTJ,TO,Torino,260,"2002","2016","1300700","381427","4963366"
S5605,VILLAFRANCA PIEMONTE PO,IJ,TO,Torino,257,"2010","2016","1300900","382375","4959780"
S3932,VINADIO STURA DI DEMONTE,GIPJ,CN,Cuneo,955,"2008","2016","4248903","349707","4907393"
"424",VOLPEDO CURONE,IJ,AL,Alessandria,182,"2004","2016","6101900","498735","4970599"
